,10000,5000,2500
4/29/2005,0.046368609,0.046263198,0.046112885
5/27/2005,0.045993977,0.045993984,0.045987661
Time (in minutes),2.17,1.52,0.8
,,,
,,0%,-1%
,,0%,0%
,,-30%,-63%
,,,
,5,3.502304147,1.843317972
